SMILES,Energygap
Cc1ccc(cc1)C(F)(F)F,197.7494212
OC(=O)CCCCl,247.4939422
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,164.7123274
Nc1ccc(Cl)c(Cl)c1,169.0277068
C[C@@H](CCO)CCC=C(C)C,209.5698082
OC(C=C)C=C,210.9791935
O=N(=O)c1ccc(Cl)c(c1)N(=O)=O,168.833179
O=CC1CCCCC1,213.4515789
COc1ccc(cc1)C#C,171.1919853
Brc1cncnc1,188.3449438
COc1ccc(cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc2cc(ccc2c1)C(=O)O,139.4927407
N[C@@H](CC(=O)O)C(=O)O,218.3248138
CCC#CCC,230.1295131
Cc1cccc2cc[nH]c12,170.4672124
CC(=O)c1cccc(C)c1,174.692858
Nc1ccccc1C(=O)c1ccccc1,142.0234845
N#Cc1sccc1,175.4414763
Clc1ccccc1C(=O)c1ccccc1,168.8990674
CC(=C)C(=O)N,207.8416485
CC(=O)CC(=O)Nc1ccccc1,170.718216
[S]C#[S],176.7316348
CC(C)[C@@H](N)C(=O)O,225.2845161
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,181.1988713
CC(C(=O)C)C(=O)C,197.0792416
CCCC(=O)c1ccc(Cl)cc1,172.6703965
c1ncncn1,204.2661022
CCOC(=O)C(=C)CBr,190.729478
CCCCC/C=C/C,221.5031469
C[Si](C)(O)c1ccccc1,196.7403867
C[C@@H](Br)c1ccccc1,188.1366108
CC1(C)N(Br)C(=O)N(Br)C1=O,175.6466717
CSc1ccccc1N,171.5923361
CNCCNC,219.8433856
Oc1cccc(C=O)c1,163.6160692
CC(C)(N)C(=O)O,229.4643536
CCCCO,253.9597949
Fc1c(F)c(C#N)c(F)c(C#N)c1F,178.5143878
CCCCOC(=O)C(=C)C,202.1501418
CCCCOc1ccc(cc1)C(=O)C,169.2793379
CC[C@@](C)(O)C#C,239.5609734
FC(F)(F)c1ccncc1,197.1677204
CC(=C)C(=O)C,193.1265624
Nc1cccnc1,174.444992
C[C@@H]1[C@@H](C)C(=O)C(=C1C)C,190.3241072
COc1nc(Cl)nc(OC)n1,212.6841354
CC(C)[C@@H]1COC(=O)N1,236.9794014
Ic1ccc(I)cc1,174.0339736
CN1CCN(C)C1=O,219.8276979
ClC(=O)c1sccc1,168.8018035
ICC=C,181.8420681
NCc1occc1,198.4265034
CCOC(=O)CBr,236.6712944
Cc1cc(C)c(C)cc1C,190.1948404
OC(=O)c1cc(=O)[nH]c(c1)O,147.0636367
C[Si](C)(c1ccccc1)[Si](C)(C)c1ccccc1,176.2666506
CCCCCCO,251.981259
CN(CCO)CCO,217.2222805
NCc1ccc(O)cc1,182.7952542
CCCCP(CCCC)CCCC,201.464902
COC(=O)[C@@H](Cc1ccccc1)NC(=O)C,196.4416925
COc1ccc(SSc2ccc(OC)cc2)cc1,145.5871081
O=C1CCCCC1=O,169.8258982
ClS(=O)(=O)c1ccccc1,185.5839042
OC(=O)c1ccc(cc1Cl)N(=O)=O,166.0376264
CCO/C=C(\C)/C=O,183.9617935
CCOC(=O)c1ccc(I)cc1,168.838199
CC(C)[C@@H](C(=O)O)c1ccc(Cl)cc1,187.7720281
Oc1ccc(Cl)cc1,178.801787
[nH]1ccnc1c1ccccc1,161.1926294
COc1ccc(cc1)C(=O)C,169.6796886
O=N(=O)c1cccc(C=O)c1,175.7364055
C/C=C/C=C/C(=O)O,164.6727943
Nc1cc(ccc1Br)C(F)(F)F,168.4980892
Oc1ccc(F)cc1,180.198622
Oc1cc(F)c(F)c(F)c1,190.0900464
ClC=C(Cl)Cl,196.5671943
OC(=O)c1oc(Br)cc1,172.6572188
ClCC#N,248.2155775
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,178.0594438
CC(=O)c1ccc(F)cc1,180.3554992
Brc1ccccn1,187.7751657
Cl[Bi](Cl)Cl,199.3759245
c1ccc(cc1)/C=C(\c1ccccc1)/c1ccccc1,144.5115576
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,139.341511
Fc1cccnc1,195.2487978
CC(C)I,192.1463933
OC[C@@H]1c2ccccc2c2ccccc12,161.9148923
NCc1ccncc1,200.9861126
Brc1ccccc1C=O,167.4670919
Cc1ccccc1C(=O)Cl,174.967707
CCOC(=O)C=C(C)C,197.0811241
OC(=O)/C=C/c1cccnc1,159.7556338
O=C(c1sccc1)c1ccccc1,163.5803011
Cc1cc(Cl)ccc1C#N,175.2218481
COc1cc(OC)cc(C=O)c1,157.6635188
ClS(=O)(=O)Cl,209.8170468
OC1=C(O)C(=O)C(=C(O)C1=O)O,119.0974431
Nc1cnc2ccccc2c1,149.3609472
CC(=O)Oc1ccc(C=C)cc1,164.615691
CCC=O,216.701448
CC(C)(C)Br,227.5699039
[nH]1ccnc1,212.9225888
OCCBr,231.3280553
Cc1c(N)cccc1Br,177.2166992
CC(C)C(=O)Cl,229.043295
CC(=O)c1c(O)ccc2ccccc12,147.6070595
Fc1ccccc1F,197.8824531
CCCCCCCCCCCCCCCCCC(=O)O,243.6648822
Clc1ccccc1C=C,170.12773
OC(=O)c1c(O)ccc2ccccc12,149.8704845
OC(=O)c1ccc2ccccc2c1,151.5289908
COC(=O)Cc1cccc2ccccc12,155.555716
CSc1ccc(C)cc1,182.1953556
Nc1c(F)cccc1C(=O)O,175.4113558
Oc1cccc(O)c1,187.2160551
CC(=O)CCC=C,212.9853397
Cl/C(=C\c1ccccc1)/C=O,146.1888892
s1cnc2ccccc12,175.5236799
CCOC(=O)CCBr,234.0784273
FC(F)(F)c1cc(Cl)c2ccccc2n1,155.9140237
C1[C@H]2C=C[C@@H]1C=C2,189.1757657
OC(=O)c1ccc(nc1)C(=O)O,179.0578106
OC(O)C(F)(F)F,278.5010444
CC1=CCCCC1,213.1309218
CCOC(=O)CCCCBr,229.8301913
Cc1cc(O)ccc1Br,179.1017363
OC(=O)COc1ccccc1,189.5158756
CC(=O)O/C=C/C=C,173.2426847
COP(=O)(OC)C=C,220.1100769
COc1cc(O)ccc1C=O,164.6213386
CCC(=O)CC,220.5926313
C[C@H]1CCCNC1,216.4378942
CCOC(=O)c1cccnc1C,182.3974135
COC(=O)N,256.0675976
Br/C=C\Br,198.2514284
N[C@@H](CCC(=O)O)C(=O)O,229.9155325
CC(=O)c1ccccc1I,169.8277807
Brc1sccc1Br,176.6130356
NC1CCCCCCCCCCC1,227.0591116
COC(=O)CCC(=O)OC,256.7961356
Cc1cccnc1Br,187.3534796
CCOC(=O)C(Br)(Br)C(=O)OCC,203.9153246
[O]N1C=CCC=C1,164.2925239
CC(=O)c1ccc(cc1)N1CCOCC1,151.3143827
C1CCN2CCCN=C2CC1,197.1790155
CNC1CCCCC1,215.5587541
Nc1cccc2c(N)cccc12,143.9543297
Br[C@@](c1ccccc1)(c1ccccc1)c1ccccc1,173.9367097
O=CCCCC=O,209.0991765
Oc1ccc(cc1)C(=O)CBr,163.85264
C1CC=CC1,219.524611
C[C@@H](O)C#C,241.1422961
o1c2ccccc2c2ccccc12,162.5053782
FC(F)(F)c1cccnc1,202.3220793
ClC/C=C/c1ccccc1,165.0179243
Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C,155.8412326
CC[C@@H](C)O,253.3341684
Cn1cnc(Cl)c1Cl,199.1839068
Cc1ccc(S)cc1,175.3297797
CC(C)[C@@H](Br)C(=O)O,223.6366775
NCC1CCCCC1,227.3232929
CCC=C(C)C,215.1094577
CS(=O)(=O)c1ccc(F)cc1,196.8621235
Clc1ccc(cc1)C(=O)CBr,165.8782391
OC[C@@H](c1ccccc1)c1ccccc1,189.4512422
BrCc1ccc(Br)cc1,176.3256364
CCOc1ccc(cc1)N=C=O,174.4983302
CCCCCCCCCC#N,257.6181724
CC(C)(C)O,248.1358839
CC[C@@H](C(=O)O)c1ccccc1,194.8465646
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,195.5600423
FC(F)(F)COC(=O)C(F)(F)F,254.2980223
C[Si](C)(C)C#C[Si](C)(C)C,220.1075669
OCCI,195.5324319
Brc1sc(Br)cc1,171.0156553
Fc1c(F)c(F)c(Br)c(F)c1F,192.4256349
Clc1nsc2ccccc12,163.3468678
CC(C)c1ccccc1N,177.7582395
Oc1ccc(Cl)cc1C=O,157.5317419
C[C@@H]1CC(=O)C=C1C,191.0934332
COc1ccc(cc1)C(=O)OC(=O)c1ccc(OC)cc1,167.2380511
CC(=O)c1ccc(cc1)N(=O)=O,169.4889259
O[C@H]1CS[C@H](O)CS1,200.7169113
Brc1ccc(I)cc1,178.1893382
C1Cc2ccccc2CO1,194.7273379
O=C1C(=O)c2ccccc2c2ccccc12,133.8244519
COC(=O)CC(=O)c1ccc(cc1)C(F)(F)F,177.2430546
Nc1cccc(c1)C#N,162.3673262
CC1(C)[C@H]2CC[C@]1(C)C(=O)OC2=O,228.9861917
COC(=O)c1ccc(cc1)C#N,174.8898958
Clc1sc2ccccc2n1,175.2921291
Fc1ccccc1C=O,175.2375358
NC(=O)OCc1ccccc1,200.1201502
COc1cccc(C)c1,186.2340035
c1ccc2nc3ccccc3cc2c1,130.9278703
Sc1cccc(Cl)c1,178.3236251
OC[C@@H](C(=O)O)c1ccccc1,201.6311919
CC(=O)c1ccc2c(Cc3ccccc23)c1,150.0323818
O=N(=O)c1ccc(C=C)cc1,153.2797409
Cc1cscc1,192.0296767
COc1cccc(Cl)c1,184.1192982
Cc1ccc(cc1)c1ccccn1,160.9786488
Nc1ccc2nc[nH]c2c1,162.9101215
COC(=O)[C@@H](O)c1ccccc1,196.2195543
S=C(NC1CCCCC1)NC1CCCCC1,178.3882585
C[C@H]1CCCCC1=O,208.9008836
Nc1c(Br)cc(Br)cc1Br,162.908239
COc1cccc(/C=C/C(=O)O)c1,152.4006008
O=CC1CC1,219.5766943
CC(C)(N)C#C,230.2029317
CCCC(=O)CC,219.7963224
CC(C)C=O,215.7124938
CC(=O)CCCCl,218.6617861
CCOC(=O)CC(=O)C(C)(C)C,210.039185
CCCCC=C,226.5056486
[O]N1C=CC=C2C=CC=C[C@@H]12,138.5000214
Clc1cnc2ccccc2c1,158.9731301
CC(C)(C)OC(=O)NO,228.8713576
C1CCCC=CCC1,214.0979132
NC(=O)c1ccccc1I,178.9636843
c1ccc2c(c1)c1cccc3cccc2c13,137.181625
CC(C)(C)OC(=O)N1CCC(CC1)C=O,192.4570103
NNC(=O)c1ccccc1,190.0360806
CN(C)CCCN,208.8462904
Nc1cc(Cl)ccc1Cl,172.5492873
CCc1cccc(C)c1N,178.1918482
O=N(=O)c1n[nH]c(Br)n1,190.5255376
Oc1ccccc1c1ccccc1,167.1740452
FC(F)(F)C(F)(I)C(F)(F)F,191.0997083
CCOC(=O)/C(=C/C)/C,197.6433722
CC(=O)c1ccccc1N,157.6603812
C[C@@H](CCC=C(C)C)CC(=O)O,202.9527258
O=C(C1CC1)c1ccccc1,180.0900629
OC(=O)C=C,209.9375285
CCC(=O)C,217.7424855
Fc1cccc(F)c1C=O,175.0543032
OC(=O)C1CCC(=O)CC1,210.9566031
OC(=O)c1ccc(cc1)C(=O)O,177.2970204
COC(OC)OC,265.9621595
ClCC=C,221.9825638
Oc1ccc2ccccc2c1,153.4083802
Cn1cccc1C=O,166.2660397
C[Si](C)(C)O[Si](C)(C)C,236.0312353
Cc1ccc(O)c(c1)C(=O)C,164.5309773
CC(=C)C(=O)OC[C@H]1CO1,200.0686945
CCCCC#C,242.9445019
Cc1ccccc1N,178.9975698
Clc1ccc2ccccc2n1,161.9079897
COc1sccc1,184.3351613
COc1ccc(CCN)cc1OC,184.6137753
COC(=O)c1ccc(Cl)cc1,177.7902424
Cn1ccc(C)n1,217.777626
O=C[C@@H]1C[C@@H]2C[C@H]1C=C2,200.3247181
OC1(O)C(=O)c2ccccc2C1=O,161.3871572
OC(=O)[C@H]1CCCN1,219.5672816
Sc1ccc(Br)cc1,172.2280027
CC[Si](Cl)(CC)CC,239.4091162
Cc1cccc(C(=O)O)c1N,156.0865887
CC(=O)Nc1ccccc1Br,180.0743752
CCCC(=O)C,220.5455682
Cc1sccc1C,187.5505174
CC(=CCC[C@@](C)(O)C=C)C,201.2452738
CI,195.2996261
OC(=O)CCc1ccccc1O,187.3861101
ClC(=O)C(Cl)(Cl)Cl,215.3993668
C=Cc1ccncc1,174.8528728
O=N(=O)c1ccc(cc1)N=C=O,161.9211673
N#CCC#N,275.6138755
OCCCCCl,255.1131564
CNC,221.5407974
O=C(C1CCCC1)c1ccccc1,181.5822793
CCOC(=O)C(F)(F)Br,221.5778205
CCO/C=C/1\N=C(OC1=O)c1ccccc1,144.3170299
CC(=C)[C@@H]1CCC(=CC1)C,206.5866305
S(Sc1ccccc1)c1ccccc1,148.9712641
C1COc2ccccc2OCCOCCOc2ccccc2OCCO1,184.1312209
CSCC[C@@H](N)C(=O)O,200.7382466
CCCCCc1ccccn1,195.4383056
FC(F)(F)c1ccc(cc1)C#N,185.1653557
CC(C)(C)OOC(=O)c1ccccc1,186.9757192
NCc1ccc(cc1)C(=O)O,181.8464606
OC(=O)c1ccc2ccccc2c1O,147.5330135
OC(=O)CCCC(=O)c1ccccc1,179.6156661
Oc1ccc2c(=O)ccoc2c1,169.9990907
O=C1CCCC(=C1)Nc1ccccc1,160.9824139
CN(C)CCO,222.4726483
COc1ccc(Br)c(C=O)c1,152.2945518
CCOC(=O)C1CC1,253.5243037
C[C@@H](Cl)C=C,220.5167027
OC(=O)/C=C/c1ccccc1F,155.9566943
COC(C)(C)OC,256.1968645
Brc1ccccc1P(c1ccccc1)c1ccccc1,166.183836
C[N+]1(CCOCC1)[O-],212.3000999
CN(C=O)c1ccccc1,181.840813
Cc1ccncn1,195.9610206
CC(C)CCCO,252.7323873
CO/C(=C/C(=O)OC)/C,196.1881788
C1CCCNCC1,210.2732458
Oc1ccc(F)cc1C=O,159.5171804
CCCC#CCO,230.1439458
CN(C)c1ccc(cc1)C(=O)c1ccc(cc1)N(C)C,145.5231022
Nc1ccccc1Oc1ccccc1,171.8703225
CCOC(=O)CC#N,255.3327846
ClCC(=O)CCl,204.3627386
Nc1ncnc2nc[nH]c12,180.1816792
OC(=O)CCBr,231.8821458
CC[C@]1(O)C(=O)OCc2c1cc1n(Cc3cc4ccccc4nc13)c2=O,131.7298268
Nc1ccc(C=C)cc1,155.8719806
CC(C)CBr,231.6374172
Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,163.3242775
ClCC#C,231.6204745
CCc1ccccc1N,177.4275422
NCC(=O)O,229.7335549
N[C@@H](Cc1ccccc1)C(=O)O,197.5266555
CCC(=O)c1ccccc1O,157.5662549
ClC(=O)Oc1ccccc1,196.7334841
c1ccc(nc1)c1ccccn1,164.8648121
Cc1cccc(=O)[nH]1,163.0607237
Cc1cc(C)c(c(C)c1)C(=O)Cl,175.0266928
CSc1cnccn1,164.0936035
c1ccc(cc1)c1ccccn1,164.4130056
CCOC(=O)CC(=O)C,221.5138145
O=C1Cc2ccccc2CO1,197.0924193
FC(F)(F)c1ccc(Br)cc1,187.0522753
O/N=C/c1ccccc1,169.7029065
Cc1cccc(I)c1,183.2389031
CCOC(=O)c1cnc2ccccc2c1Cl,154.3565463
O[C@@H](C(=O)O)c1ccc(F)cc1,192.8912465
[NH]c1cc(ccc1C(=O)O)C(=O)[O],78.99020541
Brc1ccc2cnccc2c1,158.6963986
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,166.2007787
CC(=O)O[Si](C)(C)C,249.9769953
C1CCC(=CC1)N1CCOCC1,193.5112254
CCOC(=O)C1CCCCC1,243.8167394
CC1(C)[C@H]2CC[C@](C)(C2)C1=O,206.2440105
OC(=O)c1cnccn1,176.8288987
Fc1ccccc1Br,188.4679356
CCOC(=O)CCc1ccccc1,199.3633744
C/C=C(\C)/C(=O)O,202.9069177
ClCCCCc1ccccc1,198.0638032
C1OCOCO1,272.1173953
ClC(=O)c1ccc(Cl)cc1,169.6828262
CCSc1ccccc1,181.4304222
O=C1C[C@@H]2CC[C@H]1C2,208.8155424
Fc1ccc(Br)cc1,184.4016773
CC(C)c1ccc(C)cc1,192.1677287
CC(=C)CCl,216.9524516
Cc1ccc(SSc2ccc(C)cc2)cc1,146.5848474
ClN1C(=O)CCC1=O,222.2185072
Cc1cc(N)c(cc1C)N(=O)=O,142.2562903
N[C@H]1CC[C@@H](CC1)C[C@H]1CC[C@H](N)CC1,218.6806114
C1CCCCCC1,264.8119355
OC(=O)c1cc(F)cc(F)c1,182.4212589
N#CCCc1ccccc1,200.5499939
BrCCC1CCCCC1,229.8847846
O=Cc1cccc(c1)C#N,177.8774662
CC(C)c1cc(C(C)C)c(Br)c(c1)C(C)C,186.7159305
NC(=O)c1ccc(F)cc1,189.2152988
CC(C)(C)S,209.4367763
OCc1ccccn1,195.4677985
CC(C)(C)c1cccc(n1)C(C)(C)C,193.9542468
Ic1[nH]cnc1I,165.1967643
OC(=O)Cc1ccc(O)cc1,184.6897039
Brc1ccc2[nH]ccc2c1,168.7158348
CCCCC#CC,232.6119387
OC(=O)C/C=C/c1ccccc1,165.9340874
N#Cc1ccc2ccccc2c1,153.4811713
CO[Si](OC)(OC)c1ccccc1,197.2687493
O=Cc1oc2ccccc2c1,152.4194261
C(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1,165.2024119
Fc1ccc(cc1)c1ccc(F)cc1,171.0231854
CC(=C)C(=O)OC(C)(C)C,202.0867634
CN(C)c1ccccc1,169.215332
N#C[C@@H](c1ccccc1)c1ccccc1,190.8543523
CCCCC(=O)C(=O)C,170.8763483
ClC1CCCCC1,253.5399914
Brc1ccc2cc[nH]c2c1,165.3693293
Cc1[nH]c2ccccc2c1,169.5755221
NCC[C@H](O)C(=O)O,233.1760693
ClCC=O,214.8615916
C1Cc2cccc3cccc1c23,154.713599
COc1ccc(CN)cc1,181.3990467
CCCCc1oc2ccccc2c1,173.0801599
Cc1cc(=O)[nH]c2ccccc12,154.7989402
CCOC(=O)CC(=O)OCC,250.6339972
CCC(C)(C)Br,225.37927
Oc1ccc(cc1)N(=O)=O,167.2098132
CCN(CC)C=O,226.3286911
Fc1cnc[nH]c1=O,178.7082881
Brc1ccc(C=C)cc1,161.6337682
COc1cccc(Br)c1,182.6302194
O[C@@H](C(=O)O)c1ccccc1,197.4362942
Cn1cccn1,221.932363
CCS,212.6665652
OC/C=C\c1ccccc1,172.1501916
OC(=O)c1c(O)cccc1O,166.0382539
OC(=O)C1CCCC1,240.1671471
OC(=O)CC#N,257.9902852
FC(F)(F)C(=O)CBr,195.1138834
COC1=CC(=O)c2ccccc2C1=O,144.2034507
OCc1sccc1,187.4118379
O=Cc1ccc2[nH]ccc2c1,157.4501657
Brc1ccccc1,191.7717705
Fc1c(F)c(Br)c(F)c(F)c1Br,181.5810243
CCOC(=O)NO,235.3566631
C#CCO[C@H]1CCCCO1,238.5337412
CCOC(=O)/C=C/C,203.1221533
OCCOCCOCCO,248.4188904
CCCCOc1ccc(CC(=O)NO)cc1,180.8154633
Clc1ccccc1CBr,182.6710074
OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,244.1104136
OC(=O)c1ccc(Br)c(c1)C(=O)O,176.6839441
OCCCCCCCCCCO,249.3978045
CC[C@@H](C)CCO,246.2420617
CCOc1cccc(C=O)c1O,158.8030751
O=C1[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3,209.5629056
CC(C)P(C(C)C)C(C)C,202.4720539
CC(C)(C)C(=O)OC(=O)C(C)(C)C,229.5572249
Cc1ccncc1N,177.1777937
OC(=O)Cc1ccccc1O,183.0719857
O[C@@H](CC(=O)O)C(=O)O,221.8388642
COC(=O)Cc1ccc(OC)cc1,184.036467
CC(=C)C(=O)Cl,194.5121023
CC(C)(CO)CO,238.5318586
CCC(=C)C=O,193.0242784
Oc1c2ccccc2ccc1N(=O)=O,136.340763
CC(C)c1ccccc1Br,189.823355
O=C1CCCO1,248.285231
Fc1ccc(Cl)cc1,186.6556896
COc1cc(Br)c(C=O)cc1OC,153.8752469
CCc1cccc(Br)c1,190.0454932
OC(=O)c1ccc(cc1)N1C(=O)C=CC1=O,146.3087434
Clc1cccc(Cl)n1,185.2965051
ClS(=O)(=O)Cc1ccccc1,178.6819327
ClC(=O)[C@@H](c1ccccc1)c1ccccc1,185.5807667
CCOC(=O)CC(=O)C(C)C,215.2600599
FC(F)(F)Sc1ccccc1,196.1599409
CSc1ccccc1C(=O)O,173.3499888
ClCC(=O)OC=C,210.9522106
FC(F)(F)c1cccc(Cl)n1,188.8676588
C=CCCCC#N,224.3915708
IN1C(=O)CCC1=O,169.0132741
OC(=O)c1ccc(F)cc1,186.091559
OCc1cccc2ccccc12,156.5879684
NC1=C(CCC1)C#N,180.300906
CCC1CCCCC1,255.2054003
CN(C)c1ccc(C=O)cc1,152.1213593
CC1(C)N(Cl)C(=O)N(Cl)C1=O,199.3269788
BrC1CCCCCC1,226.5815772
O=C1OC(=O)c2cccc3cccc1c23,142.7545324
Nc1cccc(Br)c1O,178.1523151
CCCCN(CCCC)CCCC,200.1182677
CC(=O)CCO,217.1463519
COC(=O)CBr,236.4943369
OC(=O)[C@@H](Cc1ccccc1)NC(=O)OC[C@@H]1c2ccccc2c2ccccc12,161.9161473
OC(=O)c1ccc(cc1)c1ccccc1,159.8346999
Fc1ccc2oc(=O)[nH]c2c1,177.8109502
COC(=O)c1ccccc1C,180.027312
C[C@@H](Cl)C(=O)Cl,217.6081985
CC(=O)OC[C@H]1OC=C[C@H](OC(=O)C)[C@@H]1OC(=O)C,210.1345663
Clc1c[nH]nc1,213.8011014
ClCCC(=O)c1ccccc1,179.8622772
CCN(CC)c1ccc(C=O)c(O)c1,152.3905607
CC(C)N,228.7678186
CCOC(=O)Cc1ccc(O)cc1,184.5334542
CCCCOC(=O)c1ccccc1,187.1300864
Nc1cccc2C(=O)c3c(N)cccc3C(=O)c12,121.7323534
CCOC(=O)Cl,258.8669153
CCCCCC(=O)OC(=O)CCCCC,234.7015437
OC(=O)CCCCC(=O)O,253.7558545
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,181.8721885
COc1cccc(C=O)c1O,153.2038123
CC(C)(C)I,188.0506421
S[C@@](c1ccccc1)(c1ccccc1)c1ccccc1,179.4537688
[S][P@]12S[P@]3([S])S[P@]([S])(S1)S[P@]([S])(S2)S3,151.8465103
N[C@@H](CCC(=O)O)C(=O)O,229.9230627
ClC[C@H]1CO1,262.7267231
Cc1cccc(C)c1N=C=O,181.0890573
Fc1c(F)c(F)c(c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,177.342201
O=CC1CCOCC1,207.2436324
CC(C)CCC#C,241.7898854
NCCc1ccccn1,190.2262158
CC(C)[C@@H](CC=C)C(=O)NC(=O)N,215.5060434
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,207.0547522
FC(F)(F)c1ccc(C=O)c(Br)c1,165.3624267
CO[C@@H](C(=O)O)c1ccccc1,200.0517517
O=C1CCCCO1,236.8796274
OC(=O)C1CCOCC1,225.6327836
c1ccc(cc1)c1cccc(n1)c1ccccc1,157.7061894
Nc1ccc(N)cc1,159.7882643
O=C1NC(=O)c2ccccc12,176.9437328
OC(=O)CN(CC(=O)O)CC(=O)O,207.2844205
CCOC(=O)c1cccc(Cl)c1,175.978624
CCCCCCCCl,258.32161
O=C/C=C/c1ccccc1,155.0537088
